Electoral district number ,Electoral district name,Political affiliation,Votes obtained ,% Votes obtained ,Full_name,Total_valid_votes,Rank,Winner,PPC_Vote
10001,Avalon,Conservative,12738,34.3,Matthew Chapman,37144,2,Loser,647
10001,Avalon,NDP,5151,13.9,Carolyn Davis,37144,3,Loser,647
10001,Avalon,Liberal,18608,50.1,Ken McDonald,37144,1,Winner,647
10001,Avalon,PPC,647,1.7,Lainie Stewart,37144,4,Loser,647
10002,Bonavista--Burin--Trinity,NDP,2484,8.3,Anne Marie Anonsen,29991,3,Loser,1257
10002,Bonavista--Burin--Trinity,PPC,1257,4.2,Linda Hogan,29991,4,Loser,1257
10002,Bonavista--Burin--Trinity,Liberal,13972,46.6,Churence Rogers,29991,1,Winner,1257
10002,Bonavista--Burin--Trinity,Conservative,12278,40.9,Sharon Vokey,29991,2,Loser,1257
10003,Coast of Bays--Central--Notre Dame,NDP,2261,7.1,Jamie Ruby,31834,3,Loser,0
10003,Coast of Bays--Central--Notre Dame,Liberal,14646,46,Scott Simms,31834,2,Loser,0
10003,Coast of Bays--Central--Notre Dame,Conservative,14927,46.9,Clifford Small,31834,1,Winner,0
10004,Labrador,PPC,307,3.2,Shannon Champion,9653,4,Loser,307
10004,Labrador,Conservative,2930,30.4,Shane Dumaresque,9653,2,Loser,307
10004,Labrador,Liberal,4119,42.7,Yvonne Jones,9653,1,Winner,307
10004,Labrador,NDP,2297,23.8,Amy Norman,9653,3,Loser,307
10005,Long Range Mountains,Conservative,14344,39.4,Carol Anstey,36447,2,Loser,1578
10005,Long Range Mountains,Liberal,16178,44.4,Gudie Hutchings,36447,1,Winner,1578
10005,Long Range Mountains,NDP,4347,11.9,Kaila Mintz,36447,3,Loser,1578
10005,Long Range Mountains,PPC,1578,4.3,Darrell Shelley,36447,4,Loser,1578
10006,St. John's East,Conservative,7119,18.7,Glenn Etchegary,38171,3,Loser,723
10006,St. John's East,PPC,723,1.9,Dana Metcalfe,38171,4,Loser,723
10006,St. John's East,NDP,13090,34.3,Mary Shortall,38171,2,Loser,723
10006,St. John's East,Liberal,17239,45.2,Joanne Thompson,38171,1,Winner,723
10007,St. John's South--Mount Pearl,NDP,8113,23.4,Ray Critch,34676,2,Loser,638
10007,St. John's South--Mount Pearl,Conservative,6447,18.6,Steve Hodder,34676,3,Loser,638
10007,St. John's South--Mount Pearl,Liberal,19478,56.2,Seamus O'Regan,34676,1,Winner,638
10007,St. John's South--Mount Pearl,PPC,638,1.8,Georgia Faith Stewart,34676,4,Loser,638
11001,Cardigan,PPC,725,3.3,Kevin Hardy,22094,5,Loser,725
11001,Cardigan,Liberal,11175,50.6,Lawrence MacAulay,22094,1,Winner,725
11001,Cardigan,Green Party,1064,4.8,Michael MacLean,22094,4,Loser,725
11001,Cardigan,Christian Heritage Party,145,0.7,Fred MacLeod,22094,6,Loser,725
11001,Cardigan,Conservative,6817,30.9,Wayne Phelan,22094,2,Loser,725
11001,Cardigan,NDP,2168,9.8,Lynne Thiele,22094,3,Loser,725
